Name,Month,Year,Sale Amount
Jose,July,2016,2650
Arnold,July,2002,904
Ronald,August,2004,3133
Homer,July,2010,7079
Lee,February,2006,449
Marion,November,2011,3938
Gilbert,August,2018,2139
Lewis,July,2012,6659
Claude,February,2004,5804
Charlie,January,2016,4590
Lewis,September,2017,5901
Lewis,January,2014,3186
Charlie,May,2000,1885
Benjamin,April,2005,5145
Douglas,October,2008,745
Martin,April,2008,4338
Eddie,May,2011,323
Roger,February,2019,755
Maurice,February,2007,7304
Sam,April,2018,2976
Virgil,August,2005,7076
Roland,November,2011,7305
Gene,November,2009,2804
Gilbert,October,2004,2876
Victor,September,2000,3982
Lewis,April,2002,7696
Junior,February,2000,3242
Jose,July,2003,1029
Rudolph,March,2000,7612
Arnold,September,2012,7824
Johnnie,March,2009,3747
Harvey,February,2003,2818
Jessie,January,2006,6361
Wallace,January,2015,2024
Harvey,July,2003,7286
Lee,January,2017,1512
Glen,February,2002,2078
Chester,July,2000,3633
Curtis,May,2003,7485
Homer,October,2011,6018
Bob,May,2012,4921
Wilbur,January,2014,6905
Charlie,August,2018,3724
Bobby,August,2008,302
Arnold,January,2013,4830
Jose,January,2005,6109
Victor,November,2016,4612
Roland,September,2015,457
Don,May,2007,4838
Lewis,October,2009,3516
Oscar,July,2016,2212
Jesse,April,2006,4073
Gene,April,2003,2141
Claude,June,2017,310
Chester,September,2017,6318
Virgil,January,2012,3642
Willard,June,2013,3617
Benjamin,May,2005,5397
Bobby,April,2017,2979
Junior,January,2002,5938
Johnnie,August,2001,5176
Everett,April,2004,2238
Gilbert,September,2019,7319
Jose,October,2009,176
Wilbur,July,2002,4500
Ronald,June,2003,6329
Leslie,November,2016,3767
Allen,November,2008,4407
Wilbur,August,2015,6355
Ronald,October,2006,6660
Ronald,March,2011,1684
Marion,January,2019,7518
Jesse,October,2017,4042
Wilbur,August,2017,4531
Gilbert,June,2014,3887
Allen,November,2000,6750
Don,May,2011,6753
Oscar,October,2016,690
Willard,April,2003,7707
Glen,January,2017,5863
Milton,February,2014,3587
Edgar,March,2016,7739
Wallace,November,2014,4145
Gilbert,October,2007,6725
Sam,June,2004,3617
Jesse,June,2016,2448
Cecil,November,2019,194
Bruce,September,2000,2548
Benjamin,July,2015,2511
Glen,October,2014,7819
Virgil,November,2003,5124
Lewis,November,2009,699
Manuel,January,2004,3543
Claude,March,2020,2872
Jerry,June,2013,6043
Lee,August,2019,1772
Bobby,May,2016,3582
Jesse,May,2001,5004
Hugh,April,2010,2299
Gene,November,2006,1079
Jessie,March,2008,5299
Roger,February,2012,3795
Jerry,October,2000,7886
Jesse,March,2014,6522
Oscar,August,2017,3511
Ronald,April,2009,818
Everett,February,2008,5659
Lee,August,2010,445
Bobby,June,2020,4698
Sam,July,2002,6866
Claude,May,2008,6146
Willard,February,2003,5574
Allen,July,2001,2439
Roland,June,2008,2334
Virgil,June,2011,7330
Edgar,January,2004,919
Marion,July,2011,5781
Edgar,May,2014,1298
Junior,April,2010,6951
Don,February,2006,1930
Jesse,August,2008,7002
Manuel,May,2008,7439
Jose,October,2017,5663
Oscar,June,2012,7267
Oscar,January,2006,6619
Chester,May,2012,3838
Edgar,April,2002,5314
Milton,June,2015,7306
Eddie,July,2006,2322
Don,August,2017,937
Everett,January,2016,5320
Leslie,June,2017,1113
Charlie,January,2004,1864
Lee,November,2006,2428
Claude,January,2006,5051
Roger,June,2011,2530
Marion,November,2008,3918
Victor,January,2011,744
Rudolph,September,2016,2421
Roland,September,2020,2257
Oscar,October,2004,1326
Jerry,November,2003,7530
Maurice,November,2008,2201
Jimmie,November,2012,6784
Claude,April,2007,7747
Allen,September,2009,928
Roland,March,2002,7409
Bobby,January,2019,7108
Jose,March,2008,3131
Roger,July,2005,4496
Wilbur,November,2004,4472
Jesse,March,2008,6608
Ronald,November,2005,7573
Edgar,March,2016,3749
Virgil,November,2000,1416
Gilbert,February,2012,6105
Douglas,May,2015,443
Gilbert,February,2015,722
Martin,August,2007,2999
Dale,August,2003,1367
Manuel,January,2018,384
Dale,September,2017,1073
Curtis,July,2015,4728
Bobby,October,2002,5073
Charlie,March,2009,3964
Bruce,July,2006,6819
Charlie,October,2005,5865
Gene,July,2007,669
Rudolph,November,2012,6632
Chester,August,2016,4703
Bob,May,2008,339
Jessie,June,2007,4908
Allen,October,2018,1782
Douglas,March,2013,6529
Lee,August,2020,1458
Douglas,January,2011,606
Rudolph,November,2009,6440
Hugh,January,2000,6151
Leslie,September,2013,7941
Jerry,July,2002,3430
Homer,July,2014,557
Marion,June,2008,7313
Chester,January,2018,4731
Rudolph,July,2005,4434
Wallace,June,2004,859
Everett,July,2016,4797
Claude,July,2005,2938
Rudolph,October,2010,433
Lee,May,2000,1581
Jessie,May,2006,2843
Arnold,April,2010,5115
